          20           1  -27.625999927520752        47554.523875236511        359.57681882825364       -11.236656534408011       -21.095252473940807     
          21           1  -29.079999923706055        47554.523875236511        358.44333604459285       -10.792690591625233       -21.803730040148348     
          22           1  -30.533999919891357        47554.523875236511        357.31990841297767       -10.328692780224781       -22.470556857621762     
         268           1  -388.21799898147583        47554.523875236511        359.11411434484188       -11.058332141453677       -21.388855000423693     
         269           1  -389.67199897766113        47554.523875236511        357.98469454875413       -10.606167275910922       -22.080159984832637     
         270           1  -391.12599897384644        47554.523875236511        356.86543195733884       -10.134115531382120       -22.730547803853355     
          20           2  -27.625999927520752        47553.069875240326        359.03731788545349       -12.591453319805241       -22.066991704820033     
          21           2  -29.079999923706055        47553.069875240326        357.87968308492390       -12.137673800092086       -22.777713851874175     
          22           2  -30.533999919891357        47553.069875240326        356.73263277342926       -11.663529198364767       -23.443509228897010     
          23           2  -31.987999916076660        47553.069875240326        355.59640968079617       -11.169397844635228       -24.066583302704014     
          24           2  -33.441999912261963        47553.069875240326        354.47122592291691       -10.655664519253159       -24.649212879917314     
          25           2  -34.895999908447266        47553.069875240326        353.35726359479560       -10.122719307978102       -25.193711264253249     
         267           2  -386.76399898529053        47553.069875240326        359.72849839511463       -12.850705445441132       -21.623574001189525     
         268           2  -388.21799898147583        47553.069875240326        358.56471594287603       -12.409174747115602       -22.361927978574148     
         269           2  -389.67199897766113        47553.069875240326        357.41135943407369       -11.947058203856280       -23.054097809532259     
         270           2  -391.12599897384644        47553.069875240326        356.26868997107726       -11.464729765538680       -23.702227755042909     
         271           2  -392.57999897003174        47553.069875240326        355.13693775604673       -10.962570529199057       -24.308556914892577     
         272           2  -394.03399896621704        47553.069875240326        354.01630260261555       -10.440967571202972       -24.875380829853100     
           1           3   0.0000000000000000        47551.615875244141        22.499999742943714       -18.382802391421329       0.61302382155536939     
           2           3  -1.4539999961853027        47551.615875244141        21.195359604906002       -18.370121296714260      -0.98607076425231555     
           3           3  -2.9079999923706055        47551.615875244141        19.891458133350511       -18.332091677749290       -2.5786351428330856     
           4           3  -4.3619999885559082        47551.615875244141        18.589030691695484       -18.268754719491152       -4.1562229867586584     
           5           3  -5.8159999847412109        47551.615875244141        17.288806069415728       -18.180178822179826       -5.7107517496192681     
           6           3  -7.2699999809265137        47551.615875244141        15.991503281223061       -18.066459242368200       -7.2346834805862770     
          19           3  -26.171999931335449        47551.615875244141        359.68473935393729       -14.387727156127216       -22.328440577729456     
          20           3  -27.625999927520752        47551.615875244141        358.49208902180902       -13.945157847270767       -23.089248241015255     
          21           3  -29.079999923706055        47551.615875244141        357.31031140725042       -13.481505616192202       -23.799210590242549     
          22           3  -30.533999919891357        47551.615875244141        356.13968285709370       -12.997162308325443       -24.460866935088543     
          23           3  -31.987999916076660        47551.615875244141        354.98044595609554       -12.492527375532818       -25.076846001542751     
          24           3  -33.441999912261963        47551.615875244141        353.83281010477629       -11.968006600561717       -25.649821219215571     
          25           3  -34.895999908447266        47551.615875244141        352.69695224913545       -11.424010866342755       -26.182473612163179     
          26           3  -36.349999904632568        47551.615875244141        351.57301774356887       -10.860954975743480       -26.677461595692296     
          27           3  -37.803999900817871        47551.615875244141        350.46112132830393       -10.279256526418267       -27.137396915543956     
         244           3  -353.32199907302856        47551.615875244141        28.480685984632942       -18.115788176204237        7.8021647380340813     
         245           3  -354.77599906921387        47551.615875244141        27.182107534352724       -18.219283566372578        6.2809002364299991     
         246           3  -356.22999906539917        47551.615875244141        25.880898619784716       -18.297593277298450        4.7284523285434972     
         247           3  -357.68399906158447        47551.615875244141        24.577782616009699       -18.350632934878238        3.1523323343619647     
         248           3  -359.13799905776978        47551.615875244141        23.273491380075029       -18.378345184343004        1.5606033819874925     
         249           3  -360.59199905395508        47551.615875244141        21.968762018131315       -18.380699991925514       -3.8299492682154192E-002
         250           3  -362.04599905014038        47551.615875244141        20.664333597518862       -18.357694803428252       -1.6357697620198102     
         251           3  -363.49999904632568        47551.615875244141        19.360943838217224       -18.309354557727804       -3.2232394659263868     
         252           3  -364.95399904251099        47551.615875244141        18.059325818476509       -18.235731555047838       -4.7923870510298778     
         253           3  -366.40799903869629        47551.615875244141        16.760204729170937       -18.136905181633871       -6.3353313569273855     
         254           3  -367.86199903488159        47551.615875244141        15.464294710449678       -18.012981494227411       -7.8448015303581222     
         267           3  -386.76399898529053        47551.615875244141        359.19784802268634       -14.210100371264673       -22.644504226806536     
         268           3  -388.21799898147583        47551.615875244141        358.00958907963047       -13.758900212177339       -23.384311124516323     
         269           3  -389.67199897766113        47551.615875244141        356.83231947614485       -13.286775672801218       -24.074292620021524     
         270           3  -391.12599897384644        47551.615875244141        355.66630175329215       -12.794121852151919       -24.717030338686378     
         271           3  -392.57999897003174        47551.615875244141        354.51176490581508       -12.281340931313339       -25.315176159441847     
         272           3  -394.03399896621704        47551.615875244141        353.36890502405379       -11.748840915411316       -25.871410675073442     
         273           3  -395.48799896240234        47551.615875244141        352.23788608015627       -11.197034422833227       -26.388408984237394     
         274           3  -396.94199895858765        47551.615875244141        351.11884083986848       -10.626337526908641       -26.868813083054487     
         275           3  -398.39599895477295        47551.615875244141        350.01187188129933       -10.037168654303839       -27.315210082257536     
           1           4   0.0000000000000000        47550.161875247955        22.499999797479177       -19.836802387609346       0.63958904290896501     
           2           4  -1.4539999961853027        47550.161875247955        21.163706821343169       -19.823813629200195       -1.0692154021693272     
           3           4  -2.9079999923706055        47550.161875247955        19.828202304931722       -19.784861990983945       -2.7703017170292745     
